topic0	hunger 0.188147812806	verstand 0.16288166439	finnisch 0.0982162183117	morgig 0.0665053773803	zorn 0.061570592778	finne 0.057238611853	lebensumstand 0.0475577034638	menschenwürdig 0.0391336737164	hungern 0.0359784206078	beladen 0.0359167883757	wohlwollen 0.0237377081707	unglaube 0.0236145448155	umringen 0.0224679575148	übeltäter 0.0179152331239	knecht 0.0177534798325	fischfang 0.0168923046419	lähmend 0.00971284178947	vorgebirge 0.00812362580426	torheit 0.00801583382298	vieldeutig 0.007667641135	bestandsschutz 0.00695954633984	niedergeschlagenheit 0.00688770776016	erkämpft 0.0065355442601	gereiztheit 0.00624942673805	schriftstelle 0.00618626503808
topic1	ausland 0.511014551987	arbeiter 0.137856255092	studiengebühr 0.0690362175237	arbeitskraft 0.0525394613463	fachschaft 0.0333042127048	anrechnung 0.0249063481446	hauptberuflich 0.0229213951051	studienjahr 0.0168661853951	informationszentrum 0.014338638379	cafe 0.0131587900684	frisör 0.0104896261732	straffen 0.0096360810199	videoportal 0.00803788606529	pelikan 0.00667804688939	prüfungsleistung 0.00637161973353	cricket 0.00555432061974	botox 0.00552251377104	straffung 0.0049544096269	bauchnabel 0.00472520757885	fischrestaurant 0.00449478792949	wellenreiten 0.00391485436423	semesterbeginn 0.00364478497772	karlsbader 0.0030436846327	arztwahl 0.00299271937302	auslandsamt 0.0029330630667
topic2	hund 0.495031338784	welpe 0.0427218803002	hündin 0.0312290601521	leine 0.021988804195	rüde 0.0214938112857	lassen 0.0163466986808	kommen 0.0155118303081	gehen 0.0152041072025	gut 0.013910860152	geben 0.0125689306629	besitzer 0.0111078951542	bellen 0.0105178429394	zeigen 0.00998361072799	spaziergang 0.00904516945904	machen 0.00869704351962	bleiben 0.00733322881723	nehmen 0.00699381798227	bekommen 0.00613447767988	bringen 0.00550066636334	richtig 0.00525565885066	sicher 0.00504939756594	züchterin 0.00501475486821	wurf 0.00498889060521	ruhig 0.00492824833933	situation 0.00488964247735
topic3	rechner 0.365010487844	betriebssystem 0.11408310353	verwalten 0.0991905420146	port 0.0807614166783	uhrzeit 0.0710613516539	firewall 0.0398357016212	professional 0.0398144660489	fehlerfrei 0.0395353481315	tcp 0.0319005771257	software 0.0265911385141	systemsteuerung 0.010382228328	zeitzone 0.00811533787181	nutzen 0.00453643411023	eigen 0.00424273437796	grenzfall 0.00408911595116	benutzerkennung 0.00399171784756	benötigen 0.00398063656012	verwendend 0.00397000514284	verwenden 0.00376983807008	konfigurierbar 0.00373406811689	vorsorgeaufwendung 0.00326529373136	sogenannt 0.0031796139223	aktuell 0.00277325623953	sachbearbeitung 0.00243007846523	möglich 0.00191291484878
topic4	ausschalten 0.202695922213	entziehen 0.202568844606	übermitteln 0.130547825002	unterbrechen 0.106573428209	schwächen 0.0959718811323	aura 0.077441332263	verlangsamen 0.0409074797533	realisiert 0.0347886014045	ausgedrückt 0.0322591071479	freigang 0.0187700666236	aufwecken 0.0157370995402	bedachen 0.0152619393388	gehörte 0.0100534938595	supercomputer 0.00728291253383	traumtänzer 0.0054521065628	weitgespannt 0.00171699565792	erlauben 1.56647673569e-05	genügen 1.33160553417e-07	auswirkung 2.04286495264e-08	versuchen 1.96537770215e-08	scheinbar 1.9560894768e-08	helfen 1.955715331e-08	nennen 1.95562808504e-08	machen 1.95558409271e-08	kurz 1.95555296479e-08
topic5	feiern 0.23196888777	party 0.123373493698	anlass 0.0988242383555	feier 0.0796413041503	jahr 0.0617009838806	sommerferien 0.0281293278538	pastor 0.0236343639145	finden 0.0228120622707	laden 0.0215269590241	geben 0.0174115769626	bestehen 0.0172978454987	groß 0.0142968996346	feierlichkeit 0.013968413664	gehen 0.0127758193795	anziehungskraft 0.0115105371198	beginnen 0.00938872628354	nehmen 0.0089741806334	grund 0.00885258375845	anschließend 0.00855148351959	kommen 0.00844276782461	sorgen 0.00736407416573	haupteingang 0.00715549259513	gelegenheit 0.00688519659334	gestalten 0.00685842879663	ehre 0.00662971469206
topic6	fläche 0.542011621702	elektrotechnik 0.0783370100129	kooperieren 0.0588914801828	vollwertig 0.0326410388399	bemessen 0.0253013816547	koordinator 0.0222576867997	verlesen 0.0194391406464	baugewerbe 0.0186853292893	eigenbedarf 0.0174410820302	presseinformation 0.0133262676152	digitalisieren 0.0126307614883	produktgruppe 0.0110260111669	tüftler 0.0106007302824	verkehrsfläche 0.010130263406	kirchplatz 0.00963233436061	ausschreibungstext 0.00886187906412	bauprodukt 0.00851002787243	benötigen 0.00847007450423	flachbildschirm 0.00774431932577	kabelanschluss 0.00765158950923	bauvorhaben 0.00761452726043	poller 0.00737937178124	zugrundelegung 0.00670356106525	wohnbau 0.00667921561271	informationsanbieter 0.00571872471985
topic7	treiben 0.484048625194	nachvollziehbar 0.142744500989	miserabel 0.0286426643919	superman 0.0281174832569	ekel 0.0277588964719	schockierend 0.0256023579114	parodie 0.0255406283177	unwesen 0.0242862262094	ablöse 0.0223938663601	titelbild 0.0196078430288	abtun 0.016635730329	geflügelt 0.0162883992537	charakterlich 0.0158577683406	unerschütterlich 0.0138041767158	neuland 0.0133954916127	haarig 0.0129479530796	fehl 0.0119664452171	realitätsfern 0.00977468656528	schwerkrank 0.00815978011147	leidensdruck 0.00753643256426	verreißen 0.00558115154089	madig 0.00545002450558	bibelwort 0.00457109330314	schreiberin 0.0043980666628	aufspalten 0.00433722140544
topic8	richter 0.253021364735	dementsprechend 0.155268311034	beurteilung 0.147703348772	entschädigung 0.0957781908671	fiktiv 0.0762157616659	werkstätte 0.0638390076538	neuerlich 0.0417682587645	erreichbarkeit 0.0389107058249	rechtsstaatlich 0.018578567276	drucksache 0.0177336998686	argumentativ 0.0147261669456	schlund 0.0131949194777	vollzogen 0.0104810422735	gleichwertigkeit 0.00947260515741	ausgestalten 0.00910903667529	legitimieren 0.00902898519169	gerahmt 0.00564021693085	ausgehebelt 0.00541403278314	auftragsabwicklung 0.00494683865823	angemessen 0.00422886006342	unterbreitet 0.00221962779508	richten 0.000890481813764	befassen 0.000268550258027	verweisen 0.000216901181686	fall 9.25761564697e-05
topic9	platz 0.472525571427	belegen 0.047859793687	gut 0.0441607667695	finden 0.0181606703117	jahr 0.0175872562832	gehen 0.0173664389561	plazierung 0.0161680756884	weit 0.0156943373231	nehmen 0.0138524012411	erst 0.0134469220627	starten 0.0131794838371	kommen 0.0131520542861	geben 0.0129356434862	groß 0.0110097470515	einzel 0.0108676592179	schaffen 0.0084001384709	gleich 0.00823360583634	hervorragend 0.00817914020726	zeigen 0.00810780207579	klasse 0.00807147133192	letzt 0.00742432618811	ende 0.00649685717908	knapp 0.006452076474	erkämpfen 0.00618562958498	stellen 0.00495814698705
topic10	online 0.874165828156	www 0.042443765651	aktuell 0.0263483417428	rückspiel 0.0151716118002	versprechend 0.0150483142182	zocker 0.0130304908993	starten 0.00399062370365	kasino 0.00297420372299	spielbank 0.00178718574819	reisemöglichkeit 0.0013923557504	interessieren 0.00120728942397	finden 0.00118985293089	anbieten 0.000157981968942	interessant 0.000145841188968	neu 8.16211296178e-05	sache 7.98682177065e-05	bekommen 5.02577940434e-05	genau 4.3519452253e-05	zeit 3.77847390366e-05	zahlreich 2.83638335578e-05	geben 2.0260093488e-05	besorgen 4.6507346592e-06	erst 1.57961741039e-06	direkt 1.22327722151e-06	grund 8.9258351645e-07
