topic0	kind 0.613467145661	eltern 0.115854240969	erwachsene 0.0275962780096	jahr 0.012423916409	klein 0.0120890738329	geben 0.0112381049524	erzieher 0.00853646231464	gemeinsam 0.00560594286318	leben 0.00518541299552	groß 0.0047495814367	kleine 0.00457987878327	früh 0.00432518374877	eigen 0.00429928238083	wichtig 0.00400299833337	unterstützen 0.0037003215943	elternteil 0.00358385085901	umgang 0.00355886223691	kommen 0.00354531724692	bekommen 0.00354182381336	finden 0.00343693784233	machen 0.00334335105607	mutter 0.00319919503708	nehmen 0.00319652498217	erziehen 0.00318044159096	hilfe 0.00316955629295
topic1	management 0.251339645744	chef 0.191821575465	community 0.155664215759	sicherung 0.110410820062	vorgesetzte 0.0428081742342	implementierung 0.0395243787532	temporär 0.0363078050998	produktiv 0.0350519065519	beförderung 0.027620408285	klassifikation 0.0189984544078	konsistent 0.0179051711097	raid 0.015756694369	schreibend 0.0145562006991	haftbar 0.0105279073455	bastelarbeit 0.0047968762842	abtippen 0.00455325892319	liken 0.00380371690127	buchempfehlung 0.00352924334517	mitarbeiterführung 0.00314198052516	manpower 0.00247942412912	fallbeispiel 0.00201803955091	unterstützungsmaßnahme 0.00166388272866	gespiegelt 0.00141588196779	themenwoche 0.00103692076159	sichern 0.000956421299773
topic2	sexuell 0.163962850038	pfarrer 0.155076934754	aufklärung 0.0817128142281	missbrauch 0.0816223660296	sexualität 0.0371237037594	bistum 0.0346899150523	einverständnis 0.0289497838833	pfarrei 0.024481486315	geistliche 0.0211997377037	cluster 0.0209776318797	minderjährige 0.0209429474917	diözese 0.0198156563258	seelsorge 0.0175981276995	porno 0.0146867408128	skandal 0.0135851184333	diakon 0.0131609676953	pfarrhaus 0.0128036907337	befriedigung 0.0125418385991	ungelöst 0.0123299919255	missbräuchlich 0.012215667779	durchführbar 0.0109059003664	handlung 0.00994008353393	schuldhaft 0.00939292779313	erschüttern 0.00891533775522	notsituation 0.00821504597629
topic3	reise 0.140658241957	urlaub 0.0800273651048	buchen 0.052294244215	unterkunft 0.0325920149875	reisen 0.0263115263264	hotel 0.0258666184494	übernachtung 0.0236705523626	pension 0.0231289421681	ort 0.020947433997	sehenswürdigkeit 0.0191311711036	ferien 0.0184566294203	buchung 0.0161864711983	unvergesslich 0.0152781155684	verbringen 0.0142810681104	abwechslungsreich 0.0134097387408	erleben 0.012780137318	besichtigen 0.0120375443194	land 0.0106349555653	sehenswert 0.00930841645894	kultur 0.00829411846464	finden 0.00800448624376	bieten 0.00796970170599	machen 0.0076904721671	besuchen 0.00726081580639	zahlreich 0.00696704945706
topic4	verschwinden 0.122172777959	brechen 0.0659467366055	kugel 0.0485876217659	zerstören 0.0474348317074	verstecken 0.0427305383734	stürzen 0.0385598898355	attacke 0.0294398921764	befreien 0.028450265002	sturz 0.0260269158191	boss 0.0246257161533	dreieck 0.0234841474543	wache 0.0210453393538	sprengen 0.0203319209011	stehlen 0.0171672537854	auftauchen 0.0145425645329	tauchen 0.0143617594094	feuern 0.0138553454749	rettung 0.0134814259618	besiegen 0.0131389085737	weichen 0.0131173932671	ungleich 0.0121530780478	schießen 0.0108117646551	töten 0.0107331874254	vorschein 0.0103478050971	speisen 0.0102641999052
topic5	alter 0.512322648718	leidenschaft 0.0878918614909	mut 0.0719179763435	begeisterung 0.065157465928	devise 0.0318308253071	altern 0.0266706569639	taube 0.0255575181375	spambot 0.0238298255169	interviewen 0.0175637508774	usability 0.0164326205047	mutti 0.0136525237662	quantität 0.0127080459403	fortschrittlich 0.0109948457794	jugendlich 0.0103169650937	professionalisierung 0.0102385876892	publiziert 0.00841463736726	seiteninhalt 0.00554867887575	unkostenbeitrag 0.00526449772942	anstecker 0.00521642845282	bautechnik 0.00445716730328	teamchef 0.0040557187382	rekonstruiert 0.00405231184852	fokussiert 0.00397554994446	veranschlagen 0.00389046970798	profilbild 0.00330621699717
topic6	trinken 0.305544986305	alkohol 0.170325498545	getränk 0.0921329293169	erwachsene 0.0749767555019	sportart 0.0674376971163	übermäßig 0.0511585918684	vermindern 0.0278705834012	windenergie 0.0256516908948	handelskammer 0.0254069980887	anmeldeformular 0.0232862607014	wichtige 0.0139314865804	strikt 0.0122740368464	schluck 0.0115449985831	fachsprache 0.0114895606302	erwachsenenalter 0.0106451701904	kampfsport 0.0105448212417	genussmittel 0.00820675662625	bioenergie 0.00693919072392	bewirkt 0.00638662811548	genesung 0.00558661944568	umweltverträglichkeitsprüfung 0.00542825351333	erwachsen 0.00451168492627	weltgesundheitsorganisation 0.00435291166456	genüge 0.00386902133875	genuss 0.00312890977972
topic7	leiden 0.327650469128	katalog 0.168458018792	zylinder 0.0608834859189	lebensqualität 0.0554202053994	gebaut 0.0440958111111	kopfschmerz 0.0383694340291	belastend 0.0367814626615	bessern 0.0260417744196	lebensumstand 0.0225856811112	fahrzeit 0.0210043348521	migräne 0.0198611952225	geborgenheit 0.0178901153567	defekte 0.0135885031773	freizeitaktivität 0.0120741069679	therapieform 0.0110642925857	antidepressivum 0.0104562766962	beeinträchtigt 0.00916372529564	umbauen 0.00908524619865	anlasser 0.00831661366069	weekend 0.00724099933869	vorschulalter 0.00689290388975	überangebot 0.00679495184212	garantiezeit 0.00629415075107	härten 0.00618554941778	geysir 0.00452757619283
topic8	zeitschrift 0.257786823372	datenbank 0.237105826241	bibliothek 0.21509281912	aufsatz 0.0482015470559	einschlägig 0.0414416012194	pendeln 0.0188828085488	symbolik 0.0179695760441	recherche 0.0150480014348	sukzessiv 0.0142005955334	click 0.0138992482107	literatur 0.00984744304527	enthalten 0.00881250613219	stromanschluss 0.00802037650247	tutorium 0.00666556156361	lebenshaltung 0.00526397075332	zugang 0.00512894569423	leistungspunkt 0.00498264676501	umfassen 0.00460943205202	quizfrage 0.00459148802068	ermüdungserscheinung 0.00410166049671	selbstmanagement 0.00385567666	fachwissenschaftlich 0.00368809667463	nutzung 0.00343994621205	fleischwolf 0.00336242462829	institution 0.00324506992196
topic9	rassismus 0.122442990002	firefox 0.0760953093509	addon 0.0638657059708	verringerung 0.0632677259675	kundgebung 0.0599970341717	kinderwunsch 0.0502675785459	chrom 0.0446410617469	aufrechterhalten 0.0405465612384	gewaltfrei 0.037511952974	bauarbeiter 0.036577053902	aufwerten 0.0364131671786	schamane 0.0350316334181	angesagt 0.0252337382776	regierungskoalition 0.0237530556502	angelsächsisch 0.0220975399663	fremdenfeindlichkeit 0.0215016117542	taxe 0.0208983664975	hellbraun 0.0192359690657	kloß 0.0169470078945	waise 0.0164356402214	notstand 0.0145553205855	ausländerin 0.0143786705652	ausspionieren 0.0134343380338	erkenntlich 0.0121578142162	dreiklang 0.0108696178384
topic10	fest 0.16705908138	geschenk 0.0983989644857	weihnachten 0.0978431823721	bunt 0.0792750850732	feiern 0.0560362601682	schenken 0.0314287429859	kerze 0.0307715082471	innen 0.0303658544665	fröhlich 0.0237119353898	weihnachtsmarkt 0.0216402683994	basteln 0.0206280362558	freude 0.0174455480731	karneval 0.0148672448032	besonder 0.0146307114768	festlich 0.013760186312	weihnachtszeit 0.0130704554688	klein 0.010950441929	schmücken 0.0101312273288	ausgelassen 0.00953991396814	weihnachtsmann 0.00929736075777	raffiniert 0.00926344338394	weihnachtsbaum 0.00903569398219	krippe 0.0085474370971	überraschung 0.00839411775867	geschmückt 0.0078335066983
topic11	steuer 0.341535915035	domain 0.139067353366	spam 0.0604223433546	aufschlag 0.0359522378266	talk 0.0332280493418	apparat 0.0317727176076	skepsis 0.0277269558574	betteln 0.0234260967642	tauglich 0.0227965333286	jahresbeginn 0.0212033437551	spezialgebiet 0.0201743982334	kurzstrecke 0.019392166314	reisepreis 0.016389528028	praktizierend 0.0147898520429	bundesvereinigung 0.0132136767374	vizepräsidentin 0.0129936031904	landesärztekammer 0.0110425372973	rundfunkanstalt 0.010079906267	tausender 0.00951506665511	cutter 0.0092909771763	privatsache 0.00762976721911	glaubensfrage 0.00713007093914	stromkonzern 0.00696938988349	denkansatz 0.00642953831641	tontechniker 0.00621885945119
